State,District,Total_Amount,Total_Transactions
karnataka,bengaluru urban,19937841648191.41,17108133846
telangana,hyderabad,11906937011997.75,7701373666
maharashtra,pune,9730217773958.357,9369053544
rajasthan,jaipur,7854091516464.189,5396870406
telangana,rangareddy,7155140430405.505,5038415120
telangana,medchal malkajgiri,5758877771328.419,4107321900
andhra-pradesh,visakhapatnam,4198568092579.272,2575752191
andhra-pradesh,guntur,3174526721513.1445,1702223654
bihar,patna,3110762089749.4023,1968265128
odisha,khordha,2992147071369.5425,2447746576
andhra-pradesh,east godavari,2975485657269.7363,1612791770
andhra-pradesh,krishna,2975056302993.092,1550021633
maharashtra,mumbai suburban,2898912678195.531,2396700372
madhya-pradesh,indore,2851361717212.2095,2352328444
madhya-pradesh,bhopal,2848991280106.372,2314131604
delhi,central delhi,2799887614468.27,1923365368
andhra-pradesh,chittoor,2671280542007.4243,1484141283
west-bengal,kolkata,2655469594200.547,1534039884
maharashtra,nashik,2618293755272.431,1920924388
maharashtra,thane,2539802526535.9463,2192427201
