State,Total_Users,Total_AppOpens,Engagement_Ratio
maharashtra,1140138243,49616423987,43.51790170325863
rajasthan,555774493,48507630334,87.27933891345388
madhya-pradesh,470663624,39708500796,84.3670485059623
karnataka,733674236,38344879267,52.264175822851165
uttar-pradesh,942334146,33236833684,35.27075170212499
andhra-pradesh,556747126,24728024309,44.41518088590905
telangana,524620520,23197773412,44.21819682539295
gujarat,459154666,20780416980,45.257989341656824
tamil-nadu,506486772,16992199376,33.549147411889365
odisha,290005345,14493923288,49.978124672150436
bihar,446115282,13608259251,30.50390739808819
chhattisgarh,142291017,11190410814,78.64453463003922
west-bengal,524964358,10943818827,20.846784472556514
jharkhand,169283936,10907909802,64.43558709551743
assam,111842317,9436508709,84.37332989980885
haryana,306022101,8259126213,26.98865927007017
punjab,171432251,5142232156,29.9957104104058
delhi,324608095,4847106329,14.932179460897302
kerala,204758075,3968667568,19.38222738224121
uttarakhand,86930925,3413394921,39.26559991165399
jammu-&-kashmir,40162530,2709558059,67.46482502471831
himachal-pradesh,49799825,2197083175,44.1182910783321
arunachal-pradesh,8046446,1117277209,138.85350240342134
meghalaya,6185282,1078448726,174.35724450396927
tripura,13862627,671717197,48.45526010329788
goa,17437286,528329279,30.298825115330448
manipur,9389131,498985094,53.14497092435924
nagaland,6297675,479729729,76.17568848821192
mizoram,2701061,368884295,136.57014595375668
ladakh,2271369,294111791,129.48657439632223
sikkim,4868004,286970076,58.95025476560824
dadra-&-nagar-haveli-&-daman-&-diu,10080195,207734903,20.608222658391032
puducherry,10407148,177962415,17.100017699373545
chandigarh,12855589,172230820,13.397349588571943
andaman-&-nicobar-islands,1842465,170043693,92.29141014890378
lakshadweep,142697,5048344,35.37806681289726
